N-HSEA	&
N-H*IE	--
N-HS*O	Return
-A	a
-AJ	ai
-AT	am
-AN	an
-AG	ang
-AK	anh
-AJK	ao
-AJG	au
STR-A	ba
STR-AJ	bai
STR-AN	ban
STR-AG	bang
STR-AK	banh
STR-AJK	bao
STR-AJN	bay
STR-E	be
STR-ET	bem
STR-EN	ben
STR-EG	beng
STR-EJK	beo
STR*-I	bi
STR-IE	bia
STR*-IN	bin
STR*-IK	binh
STR-IEN	biên
STR-SIENK	biếc
STR-SIET	biếm
STR-SIEN	biến
STR-SIEG	biếng
STR-SIENT	biết
STR-SIEJG	biếu
STR-HIEN	biền
STR-HSIEN	biển
STR-HSIEJG	biểu
STRN-IEN	biện
STRN-IENT	biệt
STR-O	bo
STR-U	boa
STR-OT	bom
STR-ON	bon
STR-OG	bong
STR*-OG	boong
STR-IU	bu
STR-UO	bua
STR-IUG	bung
STR-UON	buôn
STR-UOG	buông
STR-SUYNT	buýt
STR-SUONT	buốt
STR-HUOJ	buồi
STR-HUOT	buồm
STR-HUON	buồn
STR-HUOG	buồng
STR-HSUOJ	buổi
STRN-UONK	buộc
STRN-UOJ	buội
STRN-UOT	buộm
STRN-UONT	buột
STR-HA	bà
STR-HAJ	bài
STR-HAN	bàn
STR-HAG	bàng
STR-HAK	bành
STR-HAJK	bào
STR-HAJG	bàu
STR-HAJN	bày
STR-SA	bá
STR-SANK	bác
STR-SAGK	bách
STR-SAJ	bái
STR-SAT	bám
STR-SAN	bán
STR-SAG	báng
STR-SAK	bánh
STR-SAJK	báo
STR-SANT	bát
STR-SAJG	báu
STR*-EN	bân
STR*-EG	bâng
STR*-EJG	bâu
STR*-EJN	bây
STRN-SA	bã
STRN-SAJ	bãi
STRN-SAJK	bão
STR-HE	bè
STR-HET	bèm
STR-HEN	bèn
STR-HEJK	bèo
STR-SE	bé
STR-SENK	béc
STR-SEN	bén
STR-SEG	béng
STR-SEJK	béo
STR-SETK	bép
STR-SENT	bét
STR-OE	bê
STR-OEN	bên
STR-OEK	bênh
STR-OEJG	bêu
STR-H*I	bì
STR-HIE	bìa
STR-H*IT	bìm
STR-H*IK	bình
STR-H*IJG	bìu
STR-S*I	bí
STR-S*IGK	bích
STR-S*IT	bím
STR-S*IK	bính
STR-S*ITK	bíp
STR-S*INT	bít
STR-S*IJG	bíu
STR-HO	bò
STR-HON	bòn
STR-HOG	bòng
STR-SO	bó
STR-SONK	bóc
STR-SOJ	bói
STR-SOT	bóm
STR-SON	bón
STR-SOG	bóng
STR-SOTK	bóp
STR-SONT	bót
STR-OA	bô
STR-OAJ	bôi
STR-OAT	bôm
STR-OAN	bôn
STR-OAG	bông
STRN-SO	bõ
STRN-SOT	bõm
STRN-SOG	bõng
STR-HIU	bù
STR-HUO	bùa
STR-HIUJ	bùi
STR-HIUT	bùm
STR-HIUN	bùn
STR-HIUG	bùng
STR-SIU	bú
STR-SUO	búa
STR-SIUJ	búi
STR-SIUN	bún
STR-SIUG	búng
STR-SIUTK	búp
STR-SIUNT	bút
STR*-AT	băm
STR*-AN	băn
STR*-AG	băng
STRN-S*I	bĩ
STRN-S*IK	bĩnh
STRN-S*IJG	bĩu
STR-OY	bơ
STR-OYJ	bơi
STR-OYT	bơm
STR-OYN	bơn
